id_legacy,nombre,categoria,familia,subfamilia,unidad,stock_legacy,minimo,proveedor
inv_bdn3_off_40,SALMÓN FILETE PORCIÓN,Pescados y Mariscos,PRODUCCION,Sin subfamilia,porción,0,35,
inv_bdn3_off_39,SALMÓN FRESCO ENTERO,Pescados y Mariscos,LOGISTICA COSTERA,Sin subfamilia,kg,0,15,
inv_1777128712578,SALMÓN PERLITAS Y RAVIOLES,Pescados y Mariscos,PRODUCCION,Sin subfamilia,UN,10,0,
inv_bdn3_off_362,SALSA DE OSTRAS,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,2,2,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_1777734399923,SALSA DE SOYA,Abarrotes,SUPERMERCADO,Sin subfamilia,kg,1,0,SUPERMERCADO
inv_bdn3_off_363,SALSA INGLESA,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,1,1,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_1779462800757,SEMILLAS DE ZAPALLO,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,0,0,LA CHACRA SPA
inv_bdn3_off_331,SERVILLETAS BLANCAS,Aseo,SUPERMERCADO,Sin subfamilia,unidad,4,4,ASEO Y OTROS
inv_bdn3_off_131,SERVILLETAS NEGRAS,Aseo,ENVASES EUROPACK,Sin subfamilia,unidad,29,25,ENVASES EUROPACK
inv_bdn3_off_364,SÉSAMO,Abarrotes,EL TRIGAL,Sin subfamilia,kg,0.62,1,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_bdn3_off_82,SEVEN UP,Aguas y Bebidas,CCU,Sin subfamilia,unidad,65,4,CCU
inv_bdn3_off_95,SOL,BEBIDAS ALCOHOLICAS,CCU,Sin subfamilia,unidad,107,1,CCU
inv_bdn3_off_323,STA EMA RESERVA SIRAH,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,1,4,VINOTECA
inv_bdn3_off_311,STA. EMA CABERNET RESERVA 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,0,6,VINOTECA
inv_bdn3_off_312,STA. EMA CATALINA 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,2,6,VINOTECA
inv_1777905984458,STA. EMA GRAN RESERVA CABERNET,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,0,0,VINOTECA
inv_1777217331237,STA. EMA GRAN RESERVA MERLOT,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,0,,COMERCIAL CCU S.A.
inv_bdn3_off_318,STA. EMA TERROIR CABERNET 1/2,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,0,12,VINOTECA
inv_bdn3_off_317,STA. EMA TERROIR CABERNET 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,6,6,VINOTECA
inv_bdn3_off_320,STA. EMA TERROIR CARMENERE 1/2,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,18,12,VINOTECA
inv_bdn3_off_319,STA. EMA TERROIR CARMENERE 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,16,6,VINOTECA
inv_bdn3_off_316,STA. EMA TERROIR CHARDONNAY 1/2,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,17,12,VINOTECA
inv_bdn3_off_315,STA. EMA TERROIR CHARDONNAY 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,3,6,VINOTECA
inv_bdn3_off_322,STA. EMA TERROIR MERLOT 1/2,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,16,12,VINOTECA
inv_bdn3_off_321,STA. EMA TERROIR MERLOT 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,5,6,VINOTECA
inv_bdn3_off_314,STA. EMA TERROIR S. BLANC 1/2,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,13,12,VINOTECA
inv_bdn3_off_313,STA. EMA TERROIR S. BLANC 3/4,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,12,6,VINOTECA
inv_bdn3_off_42,SURTIDO DE MARISCOS,Pescados y Mariscos,MAR AZUL,Sin subfamilia,kg,0,5,
inv_bdn3_off_365,TABASCO,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,1,1,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_bdn3_off_102,TARAPACA GRAN RESERVA CABERNET ETIQUETA NEGRA,VINOS Y ESPUMANTES,CCU,Sin subfamilia,unidad,14,6,CCU
inv_bdn3_off_103,TARAPACA GRAN RESERVA CARMENERE,VINOS Y ESPUMANTES,CCU,Sin subfamilia,unidad,15,6,CCU
inv_bdn3_off_104,TARAPACA GRAN RESERVA MERLOT,VINOS Y ESPUMANTES,CCU,Sin subfamilia,unidad,15,4,CCU
inv_bdn3_off_335,TÉ CHAI,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,0,1,"CAFÉ, TÉ E INFUSIONES"
inv_bdn3_off_336,TÉ MANZANILLA,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,1,1,"CAFÉ, TÉ E INFUSIONES"
inv_bdn3_off_337,TÉ NEGRO,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,1,1,"CAFÉ, TÉ E INFUSIONES"
inv_bdn3_off_338,TÉ VERDE,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,1,1,"CAFÉ, TÉ E INFUSIONES"
inv_bdn3_off_294,TEQUILA OLMECA,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,3,2,VINOTECA
inv_bdn3_off_132,TOALLA DE PAPEL CORRIENTE,Aseo,ENVASES EUROPACK,Sin subfamilia,unidad,6,5,ENVASES EUROPACK
inv_bdn3_off_62,TOALLA DE PAPEL DISPENSADOR,Aseo,EL TRIGAL,Sin subfamilia,unidad,2,4,ASEO TORRES
inv_1777139762993,TOALLAS DE CLORO,Aseo,SUPERMERCADO,Sin subfamilia,UN,0,0,SUPERMERCADO
inv_bdn3_off_383,TOCINO,Carnes y Aves,SUPERMERCADO,Sin subfamilia,unidad,5,6,OTROS
inv_bdn3_off_216,TOMATE CAJA,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,19,2,LA CHACRA
inv_bdn3_off_214,TOMATE CHERRY AMARILLO,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,0,1,LA CHACRA
inv_bdn3_off_215,TOMATE CHERRY ROJO,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,2,1,LA CHACRA
inv_bdn3_off_217,TOMATE DESHIDRATADO,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,0.5,1,LA CHACRA
inv_bdn3_off_83,TONICA,Aguas y Bebidas,CCU,Sin subfamilia,unidad,102,4,CCU
inv_bdn3_off_84,TONICA ZERO,Aguas y Bebidas,CCU,Sin subfamilia,unidad,48,4,CCU
inv_1779550560670,TORTILLAS BURRERAS,Panadería,SUPERMERCADO,Sin subfamilia,PACK,4,3,SUPERMERCADO
inv_bdn3_off_63,TRAPEROS,Aseo,ASEO TORRES,Sin subfamilia,unidad,2,4,ASEO TORRES
inv_bdn3_off_293,TRIPLE SEC MITJANS,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,1,2,VINOTECA
inv_bdn3_off_43,TRUCHA,Pescados y Mariscos,VICUÑA,Sin subfamilia,kg,29.66,25,
inv_bdn3_off_49,TRUTRO DE POLLO,Carnes y Aves,ARIZTIA,Sin subfamilia,unidad,28,1,ARIZTIA
inv_bdn3_off_218,UVAS,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,1,1,LA CHACRA
inv_bdn3_off_366,VAINILLA LIQUIDA,Abarrotes,SUPERMERCADO,Sin subfamilia,unidad,1,1,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_bdn3_off_367,VAINILLA VAINAS,Abarrotes,EL TRIGAL,Sin subfamilia,unidad,4,6,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_bdn3_off_97,VINA MAR BRUT 1/2,VINOS Y ESPUMANTES,CCU,Sin subfamilia,unidad,44,1,CCU
inv_bdn3_off_96,VINA MAR BRUT 3/4,VINOS Y ESPUMANTES,CCU,Sin subfamilia,unidad,36,2,CCU
inv_bdn3_off_173,VINAGRE BALSAMICO,Abarrotes,ICB,Sin subfamilia,lt,0,10,ICB
inv_bdn3_off_174,VINAGRE BLANCO O MANZANA,Abarrotes,ICB,Sin subfamilia,lt,3.75,5,ICB
inv_bdn3_off_324,VINO BLANCO BIDON,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,1,2,VINOTECA
inv_bdn3_off_265,VINO DULCE CENTENARIO,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,3,3,VINOTECA
inv_bdn3_off_325,VINO TINTO BIDON,VINOS Y ESPUMANTES,VINOTECA,Sin subfamilia,unidad,2,1,VINOTECA
inv_bdn3_off_133,VIRUTILLAS PARRILLA,Aseo,VIRGINIA,Sin subfamilia,unidad,4,10,ENVASES EUROPACK
inv_bdn3_off_295,VODKA ABSOLUT,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,1,1,VINOTECA
inv_bdn3_off_296,VODKA GREY GOOSE,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,1,1,VINOTECA
inv_bdn3_off_297,VODKA STOLISCHNAYA,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,1,1,VINOTECA
inv_bdn3_off_298,WHISKEY 100 PIPERS,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,0,1,VINOTECA
inv_bdn3_off_299,WHISKEY CHIVAS REGAL 12 ANOS,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,12,1,VINOTECA
inv_bdn3_off_300,WHISKEY CHIVAS REGAL 18 ANOS,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,12,1,VINOTECA
inv_bdn3_off_301,WHISKEY JACK DANIELS,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,1,1,VINOTECA
inv_bdn3_off_303,WHISKEY JHONNY W. NEGRO,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,1,1,VINOTECA
inv_bdn3_off_302,WHISKEY JHONNY W. ROJO,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,3,1,VINOTECA
inv_bdn3_off_304,WHISKEY JHONNY W. VERDE,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,0,1,VINOTECA
inv_bdn3_off_256,YODOMIX,Aseo,VIRGINIA,Sin subfamilia,lt,2,5,VIRGINIA
inv_bdn3_off_381,YOGUR KEFIR ( PRI),Lácteos,SUPERMERCADO,Sin subfamilia,unidad,3,4,LÁCTEOS Y DERIVADOS
inv_bdn3_off_380,YOGUR NATURAL,Lácteos,SUPERMERCADO,Sin subfamilia,unidad,4,4,LÁCTEOS Y DERIVADOS
inv_bdn3_off_219,ZANAHORIAS,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,6.1,1,LA CHACRA
inv_bdn3_off_221,ZAPALLO CAMOTE,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,7,1,LA CHACRA
inv_bdn3_off_220,ZAPALLO ITALIANO,Frutas y Verduras,LA CHACRA,Sin subfamilia,unidad,16,20,LA CHACRA
inv_1779821959068,POLVOS DE HORNEAR,Abarrotes,SUPERMERCADO,Sin subfamilia,kg,0,0,SUPERMERCADO
inv_1779824110187,TRUCHA PORCIÓN,Pescados y Mariscos,PRODUCCION,Sin subfamilia,unidad,0,0,PRODUCCION
inv_1779914353218,SALMÓN DESPUNTE,Pescados y Mariscos,PRODUCCION,Sin subfamilia,kg,1.39,0,produccion
inv_1780167512678,MASA PIZZA,Panadería,Sin familia,Sin subfamilia,unidad,0,0,
inv_1780344945491,BASE PARA CHUPE,Pescados y Mariscos,PRODUCCION,Sin subfamilia,kg,12,0,PRODUCCION
inv_1780421924437,FILETE PARA NINO,Carnes y Aves,PRODUCCION,Sin subfamilia,porción,0,0,
inv_1780421959479,LOMO PARA NINO,Carnes y Aves,PRODUCCION,Sin subfamilia,porción,0,0,
inv_1780421998254,SALMÓN PARA NINO,Pescados y Mariscos,PRODUCCION,Sin subfamilia,porción,0,0,
inv_1780422028206,REINETA NUGGETS,Pescados y Mariscos,PRODUCCION,Sin subfamilia,porción,0,0,
inv_1780422062771,POLLO NUGGETS,Carnes y Aves,PRODUCCION,Sin subfamilia,porción,0,0,
inv_1780422390199,PALANCA PARA NINOS,Carnes y Aves,PRODUCCION,Sin subfamilia,porción,0,0,
inv_1781188501511,NUEZ ENTERA,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,0.2,0,LA CHACRA SPA
inv_1781894672786,MAQUILA PESCADOS,Pescados y Mariscos,PRODUCCION,Sin subfamilia,kg,73.5,0,PRODUCCION
